(1, 'Running', 'Running1', 1285, 13.22, '01:44:56', '2021-02-16 10:00:00', 'Polar Watch'),
(12, 'Running', 'Running2', 4532, 52.5, '06:10:00', '2021-05-09 11:00:00', 'AppleWatch'),
(12, 'Cycling', 'Cycling3', 5305, 169.47, '06:00:56', '2021-05-23 14:00:00', 'Nike Shoes'),
(14, 'Cycling', 'Cycling4', 4509, 84.38, '05:06:44', '2021-01-05 15:00:00', 'AppleWatch'),
(11, 'Cycling', 'Cycling5', 1786, 28.18, '02:01:31', '2021-04-09 15:00:00', 'Polar Watch'),
(4, 'Hiking', 'Hiking6', 8052, 85.28, '18:15:30', '2021-04-23 13:00:00', 'NULL'),
(9, 'Hiking', 'Hiking7', 8731, 79.22, '19:47:55', '2021-05-04 11:00:00', 'AppleWatch'),
(7, 'Cycling', 'Cycling8', 4174, 168.6, '04:43:58', '2021-02-03 11:00:00', 'AppleWatch'),
(13, 'Cycling', 'Cycling9', 12068, 172.51, '13:40:58', '2021-01-18 10:00:00', 'Nike Shoes'),
(7, 'Cycling', 'Cycling10', 10147, 152.89, '11:30:17', '2021-03-01 12:00:00', 'AppleWatch'),
(9, 'Cycling', 'Cycling11', 6779, 196.19, '07:41:09', '2021-02-09 12:00:00', 'Polar Watch'),
(14, 'Cycling', 'Cycling12', 4773, 183.84, '05:24:43', '2021-01-22 10:00:00', 'Asics Shoes'),
(8, 'Cycling', 'Cycling13', 623, 21.88, '00:42:24', '2021-01-02 14:00:00', 'Polar Watch'),
(2, 'Running', 'Running14', 1437, 22.7, '01:57:20', '2021-04-05 13:00:00', 'Polar Watch'),
(5, 'Running', 'Running15', 429, 5.87, '00:35:01', '2021-02-08 10:00:00', 'Polar Watch'),
(9, 'Hiking', 'Hiking16', 980, 10.07, '02:13:26', '2021-05-28 13:00:00', 'Polar Watch'),
(3, 'Cycling', 'Cycling17', 4533, 196.01, '05:08:23', '2021-04-09 10:00:00', 'NULL'),
(10, 'Hiking', 'Hiking18', 5780, 40.94, '13:06:27', '2021-05-18 13:00:00', 'AppleWatch'),
(3, 'Running', 'Running19', 2017, 30.05, '02:44:42', '2021-02-11 13:00:00', 'NULL'),
(2, 'Cycling', 'Cycling20', 3224, 144.17, '03:39:21', '2021-05-25 11:00:00', 'Nike Shoes'),
(10, 'Hiking', 'Hiking21', 5525, 47.8, '12:31:46', '2021-02-11 11:00:00', 'AppleWatch'),
(13, 'Cycling', 'Cycling22', 3676, 109.17, '04:10:07', '2021-05-06 13:00:00', 'NULL'),
(7, 'Running', 'Running23', 3914, 57.87, '05:19:33', '2021-02-14 11:00:00', 'AppleWatch'),
(9, 'Cycling', 'Cycling24', 545, 21.99, '00:37:06', '2021-04-07 12:00:00', 'AppleWatch'),
(9, 'Cycling', 'Cycling25', 5191, 157.43, '05:53:10', '2021-01-21 11:00:00', 'Asics Shoes'),
(9, 'Cycling', 'Cycling26', 6577, 165.61, '07:27:26', '2021-01-20 14:00:00', 'Polar Watch'),
(2, 'Cycling', 'Cycling27', 2765, 116.74, '03:08:09', '2021-05-01 12:00:00', 'AppleWatch'),
(4, 'Hiking', 'Hiking28', 7995, 69.55, '18:07:51', '2021-01-24 12:00:00', 'Nike Shoes'),
(2, 'Running', 'Running29', 292, 4.78, '00:23:52', '2021-04-25 12:00:00', 'Asics Shoes'),
(2, 'Cycling', 'Cycling30', 11409, 193.53, '12:56:09', '2021-03-01 14:00:00', 'Polar Watch'),
(8, 'Hiking', 'Hiking31', 1239, 10.12, '02:48:38', '2021-03-07 11:00:00', 'Asics Shoes'),
(14, 'Hiking', 'Hiking32', 3904, 30.4, '08:51:15', '2021-05-27 15:00:00', 'Nike Shoes'),
(2, 'Running', 'Running33', 1429, 17.05, '01:56:43', '2021-05-16 10:00:00', 'Polar Watch'),
(7, 'Cycling', 'Cycling34', 3198, 121.29, '03:37:35', '2021-04-25 10:00:00', 'AppleWatch'),
(15, 'Hiking', 'Hiking35', 5410, 59.81, '12:16:04', '2021-04-06 13:00:00', 'NULL'),
(13, 'Hiking', 'Hiking36', 2707, 28.79, '06:08:24', '2021-02-01 10:00:00', 'Asics Shoes'),
(15, 'Hiking', 'Hiking37', 6713, 52.81, '15:13:26', '2021-04-18 11:00:00', 'AppleWatch'),
(7, 'Cycling', 'Cycling38', 3398, 57.08, '03:51:09', '2021-03-04 12:00:00', 'Asics Shoes'),
(12, 'Running', 'Running39', 426, 6.49, '00:34:46', '2021-02-11 12:00:00', 'Asics Shoes'),
(2, 'Running', 'Running40', 1564, 25.55, '02:07:44', '2021-02-19 13:00:00', 'AppleWatch'),
(13, 'Running', 'Running41', 2459, 30.04, '03:20:47', '2021-03-23 14:00:00', 'Asics Shoes'),
(4, 'Running', 'Running42', 1082, 9.07, '01:28:21', '2021-01-14 12:00:00', 'AppleWatch'),
(8, 'Hiking', 'Hiking43', 4381, 37.23, '09:56:05', '2021-02-04 10:00:00', 'NULL'),
(2, 'Hiking', 'Hiking44', 7069, 75.27, '16:01:47', '2021-01-27 11:00:00', 'AppleWatch'),
(14, 'Cycling', 'Cycling45', 3857, 143.16, '04:22:24', '2021-01-27 13:00:00', 'NULL'),
(10, 'Running', 'Running46', 4486, 59.63, '06:06:13', '2021-03-18 10:00:00', 'Asics Shoes'),
